Segment Type,Importance,Text
paragraph,1.0,Cahier des Charges TMA Support Applicatif 2025-2027 Objet du document : Le présent cahier des charges précise la nature de la prestation attendue par le client pour la Tierce Maintenance Applicative Support Applicatif ainsi que les conditions de sa mise en œuvre tant sur le plan technique qu’organisationnel. Suivi des modifications : 
title,1.0,Présentation
subtitle,0.8,Introduction
paragraph,1.0,"Le présent cahier des charges précise la nature de la prestation attendue par le client pour la Tierce Maintenance Applicative. Ceci tant sur les conditions de sa mise en œuvre sur le plan technique qu’organisationnel. La PRESTATION se compose d’un socle de base ferme, qui sera complété de prestations optionnelles sur base de commandes supplémentaires, notamment sur l’activité Projet. "
subtitle,0.8,Glossaire
paragraph,1.0,Les termes suivants ont les significations définies ci-après : 
subtitle,0.8,La société
paragraph,1.0,"LILLY FRANCE SAS est une filiale du groupe Eli Lilly Company dont le siège est situé à Indianapolis aux Etats-Unis. La vocation première de notre société est de développer et mettre sur le marché des produits pharmaceutiques de qualité dans les domaines du diabète, de l’oncologie, des maladies psychiatriques et neurologiques, des maladies cardiovasculaires, de maladies urologiques, de la rhumatologie et des maladies auto-immunes. Le site de Fegersheim est aujourd’hui spécialisé dans la production de stylos injecteurs et de médicaments biogénétiques en cartouche - insulines, hormones de croissance et hormone parathyroïdienne. "
subtitle,0.8,Contexte général
paragraph,1.0,"Le contexte : Actuellement au sein de la société Lilly et plus particulièrement sur le site de Fegersheim, le support des solutions informatiques est sous-traité à un tiers dans sa réalisation. Un prestataire présent sur le site, en collaboration avec d’autres prestataires (autres périmètres) et des équipes de support internationales, réalise les activités de maintenance préventive, corrective et d’aide aux utilisateurs. Le contrat de support actuel arrivant à échéance à la fin 2024, la société Lilly souhaite consulter le marché des sociétés de service en informatique afin de mettre en œuvre une nouvelle organisation de support en lien avec nos nouveaux enjeux techniques et économiques. Les lignes de production fonctionnent en 7 jours sur 7 et 24 h sur 24 sur l'ensemble du site. Organisation du support au sein de Lilly Au sein de Lilly le support informatique est composé de quatre éléments : L’utilisateur, Le power user, le business: dans le cas d’un incident, l’utilisateur, le power user (super utilisateur) ou le business (groupe de support produit / processus business) s’assure que l’incident n’est pas du à un problème d’utilisation de l’application.
Si tel n’est pas le cas un appel au HelpDesk est initié par l’utilisateur. Le helpdesk enregistre l’incident dans une base (création d’un ticket) et affect le ticket au groupe de résolution en charge du support de la solution. Pour les solutions de niveaux 3, la TMA doit pouvoir recevoir directement les appels des utilisateurs et logger les incidents reçus directement dans le système de gestion utilisé par Lilly. Le groupe de support local investigue l’incident, fait appel le cas échéant à d’autres groupes de résolution - locaux ou globaux, s’assure de l’évaluation de l’incident par la Qualité, applique la mesure corrective et informe l’utilisateur de la résolution. La TMA intervient dans le cadre d’un groupe de résolution locale. Les équipes globales prennent en charge l’expertise technique dans des domaines pointus (DBA, Unix, …) Le besoin : Lilly France à Fegersheim souhaite conduire une consultation pour un contrat de TMA pour le support de ses solutions informatiques pour la période 2025-2027 afin d’intégrer les meilleures pratiques et propositions du marché et bénéficier ainsi d’une gestion plus optimisée du support de ses systèmes. L’équipe ainsi constituée, comprenant les exigences de l’industrie pharmaceutique, aura les compétences et des expertises diversifiées pour traiter les différents types de services attendus : de l’analyse et gestion des incidents à la gestion de projet. Tout au long de la prestation, les capacités de l’équipe seront adaptées afin de répondre aux exigences du CLIENT. La prestation devra être réalisée avec une structure dans les murs du site de Fegersheim (une présence sur le site est privilégiée afin de faciliter les interactions entre équipes et permettre une intervention rapide en zone de production, permettant de mieux comprendre les problématiques remontées). Périmètre de la consultation : Le support des applications de type Data Historian/Production productivity "
subtitle,0.8,Principaux enjeux
paragraph,1.0,"Les principaux enjeux de la prestation sont : Assurer la satisfaction cliente sur le périmètre applicatif en assurant la maintenance corrective, adaptative et évolutive en respectant les contraintes, notamment documentaires et les délais. Fournir une prestation conforme aux attentes réglementaires en vigueur sur le site de Fegersheim Contribuer à l’amélioration de la performance du CLIENT dans son activité pharmaceutique et de production. Être force de proposition et assurer des gains de productivité réguliers par un processus de capitalisation et d’amélioration continue des compétences. Fournir une prestation souple, autonome sur son périmètre et réactive de manière à pouvoir s’adapter aux besoins client. "
subtitle,0.8,Attentes du client
paragraph,1.0,"Les attentes majeures du client sont : En termes de prestations : Un niveau de service dans le respect des procédures qualités du client Une visibilité et une fiabilité sur l’avancement des travaux du PRESTATAIRE Une fiabilité dans les livraisons aussi bien technique que documentaire Un engagement de l’équipe permettant de résoudre rapidement les incidents, et éviter toute récurrence visant à éviter un arrêt des lignes de production lié à un incident informatique sur les systèmes supportés Une présence forte en zone de production En termes de gestion de compétence : Une bonne compréhension des enjeux fonctionnels du client Une connaissance du métier pharmaceutique et un sens du service Un dimensionnement de l’équipe adapté à la charge et correctement formée Une maitrise de la validation et du testing de systèmes informatiques en milieu règlementé pharmaceutique Une autonomie technique complète de l’équipe TMA sur l’ensemble du périmètre défini dans ce document Une capacité à leader, investiguer et résoudre des problèmes complexes impliquant par exemples : Diverses technologies Diverses équipes potentiellement non localisées à Fegersheim Une capacité à communiquer de manière efficace et adapté à des personnes ayant des profils variés (ex : opérateur de production, QA, expert technique, experts internationaux etc..) Une capacité à mettre en œuvre des outils permettant de réaliser les activités (ex : méthode d’analyse de cause pour des investigations complexes, etc..) "
subtitle,0.8,Les acteurs CLIENT
paragraph,1.0,"Le schéma ci-dessous montre les principaux acteurs utilisateurs de la PRESTATION et susceptibles d’échanger avec la TMA. Le « service manager »  est le représentant du CLIENT auprès du PRESTATAIRE pour le suivi opérationnel du contrat, il réalise ou fait réaliser : La gestion technique de la relation prestataire, La participation aux Comités de pilotage, La planification et suivi d’avancement, La vérification de la qualité des livrables et des indicateurs, Les demandes d’évolutions, Les audits, Le suivi des demandes métiers (devis, commandes, réception). Le suivi du respect des règles en applications (ex : formations, règles qualités, etc…) Les utilisateurs d’applications, principalement les « Ingénieurs Process » remettront les anomalies constatées. Les services globaux d’infrastructure et de support des systèmes du CLIENT et les éditeurs de solutions seront aussi des interlocuteurs privilégiés. Le « custodian »  est le représentant du CLIENT auprès du PRESTATAIRE, redevable de la validation des systèmes dont il est responsable auprès du propriétaire business. Le Custodian s’assure la validation finale des documents de validation pour vérifier que les systèmes sont élaborés, installés, entretenus, supportés et validés dans le respect des procédures applicables. "
subtitle,0.8,Les moyens mis à disposition par le CLIENT
